"tract","Name","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall"
24005420800,"Dundalk, MD",0.223
24003750300,"Linthicum Heights, MD",0.2206
24005403100,"Gwynn Oak, Pikesville, MD",0.2186
24510280403,"Westgate, Baltimore, MD",0.2182
24510270502,"North Harford Road, Baltimore, MD",0.217
24005440701,"Rosedale, MD",0.2166
24005402505,"Randallstown, MD",0.216
24005402407,"Windsor Mill, Milford Mill, MD",0.2152
24510040100,"Downtown, Baltimore, MD",0.2144
24510270301,"Lauraville, Baltimore, MD",0.2143
24005401301,"Woodlawn, MD",0.2137
24510272006,"Glen, Baltimore, MD",0.2129
24510130700,"Hampden, Baltimore, MD",0.2116
24005420500,"Baltimore, MD",0.2116
24510130803,"Medfield, Baltimore, MD",0.2116
24005451801,"Middle River, MD",0.2115
24005440702,"Rosedale, MD",0.2113
24005403201,"Gwynn Oak, Lochearn, MD",0.2089
24003731309,"Riviera Beach, MD",0.2088
24005430800,"Halethorpe, MD",0.2083
24005451600,"Middle River, MD",0.2081
24510250103,"Violetville, Baltimore, MD",0.2055
24005402306,"Windsor Mill, Baltimore, MD",0.2049
24005430900,"Baltimore, MD",0.2048
24005491402,"Parkville, MD",0.2034
24510260501,"Joseph Lee, Baltimore, MD",0.2034
24003730401,"Glen Burnie, MD",0.2027
24510120201,"Baltimore, MD",0.2012
24510270804,"Lake Walker, Baltimore, MD",0.2008
24510010100,"Canton, Baltimore, MD",0.2002
24003751000,"Glen Burnie, MD",0.1989
24003750202,"Brooklyn Park, MD",0.1984
24510270102,"Waltherson, Baltimore, MD",0.1982
24005451803,"Middle River, MD",0.1982
24005491600,"Parkville, MD",0.1975
24510280401,"Baltimore, MD",0.1955
24005402602,"Randallstown, MD",0.193
24510272007,"Fallstaff, Baltimore, MD",0.1929
24005450200,"Essex, MD",0.1926
24027606707,"Columbia, MD",0.1922
24003750203,"Baltimore, MD",0.1915
24027601203,"Elkridge, MD",0.1914
24003730204,"Glen Burnie, MD",0.1903
24005420100,"Dundalk, MD",0.1901
24005491401,"Parkville, MD",0.1898
24005420701,"Dundalk, MD",0.189
24005450501,"Essex, MD",0.1887
24510150702,"Walbrook, Baltimore, MD",0.188
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.188
24005401101,"Woodlawn, MD",0.188
24003730300,"Glen Burnie, MD",0.1876
24005492102,"Parkville, MD",0.1862
24510280200,"Gwynn Oak, Baltimore, MD",0.1856
24510270902,"Perring Loch, Baltimore, MD",0.1849
24005421102,"Dundalk, MD",0.1839
24510260101,"Cedmont, Baltimore, MD",0.1837
24510240400,"Riverside Park, Baltimore, MD",0.1827
24005451100,"Essex, MD",0.1826
24005440300,"Nottingham, MD",0.1825
24005420303,"Dundalk, MD",0.1825
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1825
24005421200,"Dundalk, MD",0.1814
24005402307,"Pikesville, MD",0.1813
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1812
24027601107,"Waterloo, Elkridge, MD",0.1805
24005420402,"Dundalk, MD",0.1805
24510270803,"Loch Raven, Baltimore, MD",0.1795
24005451300,"Middle River, MD",0.1795
24005401302,"Gwynn Oak, Baltimore, MD",0.1792
24003751102,"Glen Burnie, MD",0.1789
24005403202,"Gwynn Oak, Baltimore, MD",0.1783
24005401507,"Windsor Mill, Baltimore, MD",0.1782
24005402304,"Gwynn Oak, Baltimore, MD",0.1781
24005402303,"Windsor Mill, Baltimore, MD",0.1775
24005402404,"Gwynn Oak, Lochearn, MD",0.1763
24005451500,"Middle River, MD",0.176
24005420301,"Dundalk, MD",0.1755
24510151100,"East Arlington, Baltimore, MD",0.175
24510080101,"Belair - Edison, Baltimore, MD",0.1748
24005402503,"Randallstown, MD",0.1746
24005452000,"Sparrows Point, MD",0.1745
24510270401,"Glenham-Belford, Baltimore, MD",0.1743
24005401200,"Woodlawn, MD",0.1733
24510270802,"Ramblewood, Baltimore, MD",0.1732
24005420600,"Baltimore, MD",0.1721
24510010300,"Canton, Baltimore, MD",0.1718
24510270903,"Hillen, Baltimore, MD",0.1716
24003750803,"Glen Burnie, MD",0.1711
24005452500,"Dundalk, MD",0.1701
24510130806,"Woodberry, Baltimore, MD",0.1699
24510130804,"Hampden, Baltimore, MD",0.1693
24510250206,"Morrell Park, Baltimore, MD",0.1689
24510261100,"Canton, Baltimore, MD",0.1676
24510271900,"Glen, Baltimore, MD",0.1623
24510260605,"Medford - Broening, Baltimore, MD",0.162
24005441000,"Baltimore, MD",0.1619
24005421101,"Baltimore, MD",0.1617
24510260102,"Frankford, Baltimore, MD",0.1605
24510010500,"Upper Fells Point, Baltimore, MD",0.1592
24005402305,"Lochearn, Pikesville, MD",0.159
24510250101,"Beechfield, Baltimore, MD",0.1583
24510280301,"Gwynn Oak, Baltimore, MD",0.1572
24005402406,"Windsor Mill, Milford Mill, MD",0.1564
24005450800,"Essex, MD",0.1556
24005451401,"Middle River, MD",0.1555
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.1552
24510110200,"Downtown, Baltimore, MD",0.1546
24510270901,"New Northwood, Baltimore, MD",0.1544
24005450400,"Essex, MD",0.1541
24510250303,"Morrell Park, Baltimore, MD",0.1537
24510180200,"Poppleton, Baltimore, MD",0.1531
24005402405,"Gwynn Oak, Baltimore, MD",0.1523
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1513
24510270805,"Mid-Govans, Baltimore, MD",0.1508
24003730203,"Glen Burnie, MD",0.1483
24510280302,"West Forest Park, Baltimore, MD",0.1478
24510270801,"Idlewood, Baltimore, MD",0.1468
24510271101,"Radnor - Winston, Baltimore, MD",0.1465
24510150800,"Garwyn Oaks, Baltimore, MD",0.1463
24510130600,"Hampden, Baltimore, MD",0.1462
24510280402,"Rognel Heights, Baltimore, MD",0.1455
24005420401,"Dundalk, MD",0.1439
24510260202,"Parkside, Baltimore, MD",0.142
24510260900,"Baltimore, MD",0.1414
24510271002,"Winston - Govans, Baltimore, MD",0.1409
24510010200,"Patterson Park, Baltimore, MD",0.1407
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1407
24510260302,"Belair - Edison, Baltimore, MD",0.1396
24510260201,"Frankford, Baltimore, MD",0.1396
24003750101,"Brooklyn Park, MD",0.1379
24005450504,"Essex, MD",0.1366
24510200701,"Allendale, Baltimore, MD",0.1366
24005451402,"Middle River, MD",0.1355
24510130400,"Woodbrook, Baltimore, MD",0.1345
24005450503,"Essex, MD",0.1343
24510200100,"Lexington, Baltimore, MD",0.1342
24003750102,"Baltimore, MD",0.134
24510250401,"Brooklyn, Baltimore, MD",0.1336
24510150500,"Burleith-Leighton, Baltimore, MD",0.1329
24510280404,"Irvington, Baltimore, MD",0.132
24510230300,"South Baltimore, Baltimore, MD",0.1309
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1307
24510250102,"Yale Heights, Baltimore, MD",0.1305
24510060300,"Butchers Hill, Baltimore, MD",0.1301
24005420302,"Dundalk, MD",0.1291
24005421300,"Dundalk, MD",0.1279
24005421000,"Dundalk, MD",0.1275
24510150900,"Windsor Hills, Baltimore, MD",0.1259
24510170100,"Downtown, Baltimore, MD",0.1257
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.1246
24510230200,"South Baltimore, Baltimore, MD",0.1245
24510250207,"Cherry Hill, Baltimore, MD",0.124
24510230100,"Baltimore, MD",0.123
24510080102,"Belair - Edison, Baltimore, MD",0.1227
24510160801,"Edmondson, Baltimore, MD",0.1225
24510090500,"Better Waverly, Baltimore, MD",0.1219
24005452300,"Baltimore, MD",0.1213
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.121
24510200800,"Irvington, Baltimore, MD",0.1209
24510280101,"Reisterstown Station, Baltimore, MD",0.1205
24005492300,"Essex, MD",0.1205
24510271700,"Central Park Heights, Baltimore, MD",0.1202
24510150701,"Hanlon Longwood, Baltimore, MD",0.1192
24510120700,"Remington, Baltimore, MD",0.1187
24510200600,"Baltimore, MD",0.1173
24510090400,"Better Waverly, Baltimore, MD",0.117
24510180300,"Hollins Market, Baltimore, MD",0.1166
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.1164
24510151000,"Dorchester, Baltimore, MD",0.1148
24510280102,"Gwynn Oak, Baltimore, MD",0.1138
24510070100,"Baltimore, MD",0.1133
24510060400,"Baltimore, MD",0.1119
24510260402,"Frankford, Baltimore, MD",0.1106
24510271801,"Arlington, Baltimore, MD",0.1102
24510260800,"Baltimore Highlands, Baltimore, MD",0.11
24510130200,"Reservoir Hill, Baltimore, MD",0.1093
24510260700,"Fifteenth Street, Baltimore, MD",0.1091
24510151200,"Park Circle, Baltimore, MD",0.1088
24510260203,"Frankford, Baltimore, MD",0.1081
24510160700,"Rosemont, Baltimore, MD",0.1077
24510030200,"Little Italy, Baltimore, MD",0.1075
24510260401,"Armistead Gardens, Baltimore, MD",0.1075
24510070400,"Gay Street, Baltimore, MD",0.1074
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.1055
24510260404,"Baltimore Highlands, Baltimore, MD",0.1041
24510260301,"Belair - Edison, Baltimore, MD",0.1038
24510271600,"Edgecomb, Baltimore, MD",0.1036
24510150300,"Coppin Heights, Baltimore, MD",0.1031
24510260403,"Cedonia, Baltimore, MD",0.103
24510250205,"Lakeland, Baltimore, MD",0.1001
24510120600,"Old Goucher, Baltimore, MD",0.0996
24510240300,"Riverside, Baltimore, MD",0.0993
24510261000,"Patterson Park, Baltimore, MD",0.0991
24510250500,"Curtis Bay, Baltimore, MD",0.0985
24510120300,"Harwood, Baltimore, MD",0.0976
24510020200,"Upper Fells Point, Baltimore, MD",0.0969
24510020100,"Upper Fells Point, Baltimore, MD",0.096
24510060200,"Baltimore, MD",0.0951
24510151300,"Central Park Heights, Baltimore, MD",0.0939
24510150200,"Sandtown-Winchester, Baltimore, MD",0.0938
24510271802,"Langston Hughes, Baltimore, MD",0.0922
24510080200,"Broadway East, Baltimore, MD",0.0918
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.0918
24510160400,"Midtown Edmondson, Baltimore, MD",0.0915
24510110100,"Downtown, Baltimore, MD",0.0912
24510160100,"Harlem Park, Baltimore, MD",0.0912
24510080302,"Berea, Baltimore, MD",0.0908
24510080500,"Darley Park, Baltimore, MD",0.0903
24510140200,"Upton, Baltimore, MD",0.0897
24510210200,"Pigtown, Baltimore, MD",0.0887
24510080600,"Broadway East, Baltimore, MD",0.0878
24510130300,"Penn North, Baltimore, MD",0.0868
24510090800,"East Baltimore Midway, Baltimore, MD",0.0865
24510120500,"Greenmount West, Baltimore, MD",0.0864
24510250402,"Brooklyn, Baltimore, MD",0.0858
24510160600,"Mosher, Baltimore, MD",0.0852
24510160802,"Edmondson, Baltimore, MD",0.0847
24510120400,"Barclay, Baltimore, MD",0.0846
24510100200,"Baltimore, MD",0.0826
24510170300,"Upton, Baltimore, MD",0.0818
24510090900,"Oliver, Baltimore, MD",0.0803
24510150400,"Mondawmin, Baltimore, MD",0.0801
24510160200,"Sandtown-Winchester, Baltimore, MD",0.0791
24510160300,"Sandtown-Winchester, Baltimore, MD",0.079
24510190100,"Franklin Square, Baltimore, MD",0.0789
24510271001,"Baltimore, MD",0.0784
24510030100,"Perkins Homes, Baltimore, MD",0.0774
24510200200,"Lexington, Baltimore, MD",0.0766
24510250301,"Westport, Baltimore, MD",0.0757
24510190300,"Mount Clare, Baltimore, MD",0.0749
24510260604,"O'Donnell Heights, Baltimore, MD",0.0742
24510080301,"Berea, Baltimore, MD",0.0721
24510080400,"Broadway East, Baltimore, MD",0.0714
24510080700,"Broadway East, Baltimore, MD",0.0705
24510190200,"Pratt Monroe, Baltimore, MD",0.0702
24510060100,"Patterson Park, Baltimore, MD",0.0701
24510130100,"Reservoir Hill, Baltimore, MD",0.0701
24510280500,"Pleasant View Gardens, Baltimore, MD",0.07
24510200702,"Saint Joseph's, Baltimore, MD",0.0698
24510210100,"Pigtown, Baltimore, MD",0.0694
24510100100,"Johnson Square, Baltimore, MD",0.0685
24510150600,"NW Community Action, Baltimore, MD",0.0682
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.0672
24510070200,"Madison - Eastend, Baltimore, MD",0.0659
24510200500,"Mill Hill, Baltimore, MD",0.0648
24510150100,"Sandtown-Winchester, Baltimore, MD",0.0645
24510140300,"Druid Heights, Baltimore, MD",0.0629
24510250203,"Cherry Hill, Baltimore, MD",0.0608
24510040200,"Downtown, Baltimore, MD",0.0604
24510170200,"McCulloh Homes, Baltimore, MD",0.06
24510250600,"Brooklyn, Baltimore, MD",0.0558
24510260303,"Claremont - Freedom, Baltimore, MD",0.0552
24510250204,"Cherry Hill, Baltimore, MD",0.0528
24510070300,"Milton - Montford, Baltimore, MD",0.0524
24510200400,"Shipley Hill, Baltimore, MD",0.0492
24510080800,"Broadway East, Baltimore, MD",0.0484
24510180100,"Poppleton, Baltimore, MD",0.0361
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
