"tract","Name","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall"
24005450200,"Essex, MD",0.2032
24003750201,"Brooklyn, Baltimore, MD",0.2022
24005450400,"Essex, MD",0.2021
24003750900,"Glen Burnie, MD",0.2014
24005400600,"Catonsville, MD",0.2006
24510270101,"Arcadia, Baltimore, MD",0.1978
24027606707,"Columbia, MD",0.1972
24027606901,"Savage, Jessup, MD",0.1969
24005450501,"Essex, MD",0.1958
24005421102,"Dundalk, MD",0.1952
24005491600,"Parkville, MD",0.1938
24510130700,"Hampden, Baltimore, MD",0.1936
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1918
24005420800,"Dundalk, MD",0.189
24005420402,"Dundalk, MD",0.1873
24003751102,"Glen Burnie, MD",0.1873
24005440701,"Rosedale, MD",0.1872
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1858
24510140100,"Bolton Hill, Baltimore, MD",0.1844
24005451803,"Middle River, MD",0.1838
24003751000,"Glen Burnie, MD",0.1833
24510272007,"Fallstaff, Baltimore, MD",0.1782
24510260501,"Joseph Lee, Baltimore, MD",0.1776
24005452500,"Dundalk, MD",0.1767
24005402506,"Randallstown, MD",0.1767
24510130806,"Woodberry, Baltimore, MD",0.1754
24005452000,"Sparrows Point, MD",0.1752
24003730204,"Glen Burnie, MD",0.1745
24510010100,"Canton, Baltimore, MD",0.1744
24510280403,"Westgate, Baltimore, MD",0.1721
24027601107,"Waterloo, Elkridge, MD",0.1708
24510261100,"Canton, Baltimore, MD",0.1687
24005402509,"Owings Mills, MD",0.1686
24005401506,"Windsor Mill, Baltimore, MD",0.1664
24005402603,"Randallstown, MD",0.1663
24003750203,"Baltimore, MD",0.1654
24005492102,"Parkville, MD",0.1648
24510270302,"Waltherson, Baltimore, MD",0.1646
24510272006,"Glen, Baltimore, MD",0.1642
24005421101,"Baltimore, MD",0.1617
24005420302,"Dundalk, MD",0.1604
24005403100,"Gwynn Oak, Pikesville, MD",0.1586
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1571
24005451300,"Middle River, MD",0.1566
24005402604,"Randallstown, MD",0.1563
24003750102,"Baltimore, MD",0.1544
24510130804,"Hampden, Baltimore, MD",0.1533
24003730300,"Glen Burnie, MD",0.1521
24510040100,"Downtown, Baltimore, MD",0.1508
24005401301,"Woodlawn, MD",0.1507
24510130803,"Medfield, Baltimore, MD",0.1507
24510260605,"Medford - Broening, Baltimore, MD",0.1498
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1496
24027601203,"Elkridge, MD",0.1487
24510230200,"South Baltimore, Baltimore, MD",0.148
24005451100,"Essex, MD",0.1474
24005491402,"Parkville, MD",0.1431
24510270401,"Glenham-Belford, Baltimore, MD",0.1427
24510270200,"Lauraville, Baltimore, MD",0.1421
24005451500,"Middle River, MD",0.1405
24005402503,"Randallstown, MD",0.1401
24510260101,"Cedmont, Baltimore, MD",0.14
24003750803,"Glen Burnie, MD",0.1389
24510270102,"Waltherson, Baltimore, MD",0.1382
24005451402,"Middle River, MD",0.1372
24005401102,"Gwynn Oak, Woodlawn, MD",0.1359
24005492300,"Essex, MD",0.1342
24510130600,"Hampden, Baltimore, MD",0.1332
24510130805,"Cold Springs, Baltimore, MD",0.1331
24003750101,"Brooklyn Park, MD",0.1327
24005441000,"Baltimore, MD",0.1315
24005403201,"Gwynn Oak, Lochearn, MD",0.131
24005420401,"Dundalk, MD",0.1287
24005450800,"Essex, MD",0.1271
24005451401,"Middle River, MD",0.1266
24005401302,"Gwynn Oak, Baltimore, MD",0.125
24003730203,"Glen Burnie, MD",0.1218
24510250206,"Morrell Park, Baltimore, MD",0.1214
24005440300,"Nottingham, MD",0.1211
24510010500,"Upper Fells Point, Baltimore, MD",0.1205
24510260900,"Baltimore, MD",0.1202
24510010200,"Patterson Park, Baltimore, MD",0.1195
24005402602,"Randallstown, MD",0.1193
24510080101,"Belair - Edison, Baltimore, MD",0.1186
24005402407,"Windsor Mill, Milford Mill, MD",0.118
24005401507,"Windsor Mill, Baltimore, MD",0.1178
24005402505,"Randallstown, MD",0.1174
24510010300,"Canton, Baltimore, MD",0.1171
24510240300,"Riverside, Baltimore, MD",0.1171
24005452300,"Baltimore, MD",0.1156
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1156
24510260401,"Armistead Gardens, Baltimore, MD",0.1151
24005401101,"Woodlawn, MD",0.1142
24510030200,"Little Italy, Baltimore, MD",0.1135
24005401200,"Woodlawn, MD",0.1125
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1115
24005421000,"Dundalk, MD",0.1111
24005402405,"Gwynn Oak, Baltimore, MD",0.1108
24510250303,"Morrell Park, Baltimore, MD",0.1105
24005420301,"Dundalk, MD",0.1087
24005450503,"Essex, MD",0.1075
24510250401,"Brooklyn, Baltimore, MD",0.1071
24005491401,"Parkville, MD",0.107
24510270301,"Lauraville, Baltimore, MD",0.1069
24510230300,"South Baltimore, Baltimore, MD",0.1054
24005402306,"Windsor Mill, Baltimore, MD",0.1035
24510271900,"Glen, Baltimore, MD",0.0995
24005402302,"Windsor Mill, Milford Mill, MD",0.0966
24510260800,"Baltimore Highlands, Baltimore, MD",0.0948
24510230100,"Baltimore, MD",0.0945
24510020100,"Upper Fells Point, Baltimore, MD",0.0942
24005402305,"Lochearn, Pikesville, MD",0.0935
24005402303,"Windsor Mill, Baltimore, MD",0.0924
24510260102,"Frankford, Baltimore, MD",0.0914
24510270802,"Ramblewood, Baltimore, MD",0.0899
24005402304,"Gwynn Oak, Baltimore, MD",0.0893
24510020200,"Upper Fells Point, Baltimore, MD",0.0893
24510270903,"Hillen, Baltimore, MD",0.0882
24510261000,"Patterson Park, Baltimore, MD",0.0868
24005450504,"Essex, MD",0.0864
24510110200,"Downtown, Baltimore, MD",0.0864
24510260201,"Frankford, Baltimore, MD",0.0858
24005402404,"Gwynn Oak, Lochearn, MD",0.085
24510200800,"Irvington, Baltimore, MD",0.0845
24005403202,"Gwynn Oak, Baltimore, MD",0.0843
24510280401,"Baltimore, MD",0.0839
24510151100,"East Arlington, Baltimore, MD",0.0807
24510250101,"Beechfield, Baltimore, MD",0.0805
24510250500,"Curtis Bay, Baltimore, MD",0.0795
24510270801,"Idlewood, Baltimore, MD",0.0789
24510250205,"Lakeland, Baltimore, MD",0.0756
24510210200,"Pigtown, Baltimore, MD",0.0756
24510270902,"Perring Loch, Baltimore, MD",0.0754
24005402406,"Windsor Mill, Milford Mill, MD",0.0754
24510280301,"Gwynn Oak, Baltimore, MD",0.0753
24005402307,"Pikesville, MD",0.0744
24510270803,"Loch Raven, Baltimore, MD",0.0735
24510090500,"Better Waverly, Baltimore, MD",0.0734
24510110100,"Downtown, Baltimore, MD",0.0732
24510120600,"Old Goucher, Baltimore, MD",0.0732
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.0727
24510270805,"Mid-Govans, Baltimore, MD",0.0702
24510280200,"Gwynn Oak, Baltimore, MD",0.0701
24510250402,"Brooklyn, Baltimore, MD",0.0697
24005421300,"Dundalk, MD",0.0679
24510150500,"Burleith-Leighton, Baltimore, MD",0.0677
24510170100,"Downtown, Baltimore, MD",0.0673
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.0671
24005402403,"Gwynn Oak, Baltimore, MD",0.0664
24510060200,"Baltimore, MD",0.0652
24510270901,"New Northwood, Baltimore, MD",0.0651
24510260700,"Fifteenth Street, Baltimore, MD",0.0647
24510150702,"Walbrook, Baltimore, MD",0.0646
24510260202,"Parkside, Baltimore, MD",0.0636
24510120700,"Remington, Baltimore, MD",0.0624
24510280302,"West Forest Park, Baltimore, MD",0.0605
24510180300,"Hollins Market, Baltimore, MD",0.0596
24510120500,"Greenmount West, Baltimore, MD",0.0592
24510250102,"Yale Heights, Baltimore, MD",0.0583
24510180200,"Poppleton, Baltimore, MD",0.0582
24510060300,"Butchers Hill, Baltimore, MD",0.0577
24510280402,"Rognel Heights, Baltimore, MD",0.0576
24510260302,"Belair - Edison, Baltimore, MD",0.0554
24510280404,"Irvington, Baltimore, MD",0.0536
24510280102,"Gwynn Oak, Baltimore, MD",0.0528
24510200500,"Mill Hill, Baltimore, MD",0.0519
24510260402,"Frankford, Baltimore, MD",0.0518
24510130400,"Woodbrook, Baltimore, MD",0.0513
24510260203,"Frankford, Baltimore, MD",0.0507
24510120300,"Harwood, Baltimore, MD",0.0501
24510280101,"Reisterstown Station, Baltimore, MD",0.0498
24510160700,"Rosemont, Baltimore, MD",0.0495
24510130200,"Reservoir Hill, Baltimore, MD",0.0485
24510200600,"Baltimore, MD",0.0481
24510150900,"Windsor Hills, Baltimore, MD",0.048
24510200702,"Saint Joseph's, Baltimore, MD",0.0478
24510070100,"Baltimore, MD",0.0477
24510150800,"Garwyn Oaks, Baltimore, MD",0.0466
24510260301,"Belair - Edison, Baltimore, MD",0.0459
24510060100,"Patterson Park, Baltimore, MD",0.0457
24510271002,"Winston - Govans, Baltimore, MD",0.0455
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.0447
24510150300,"Coppin Heights, Baltimore, MD",0.0435
24510190200,"Pratt Monroe, Baltimore, MD",0.0432
24510150701,"Hanlon Longwood, Baltimore, MD",0.0423
24510200701,"Allendale, Baltimore, MD",0.0413
24510260404,"Baltimore Highlands, Baltimore, MD",0.0407
24510190300,"Mount Clare, Baltimore, MD",0.04
24510151000,"Dorchester, Baltimore, MD",0.039
24510260403,"Cedonia, Baltimore, MD",0.0377
24510250600,"Brooklyn, Baltimore, MD",0.037
24510040200,"Downtown, Baltimore, MD",0.037
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.0369
24510100200,"Baltimore, MD",0.0368
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.0364
24510080500,"Darley Park, Baltimore, MD",0.0362
24510271802,"Langston Hughes, Baltimore, MD",0.0359
24510250207,"Cherry Hill, Baltimore, MD",0.0354
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.0351
24510271700,"Central Park Heights, Baltimore, MD",0.0349
24510160801,"Edmondson, Baltimore, MD",0.0336
24510160100,"Harlem Park, Baltimore, MD",0.0335
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.0332
24510080301,"Berea, Baltimore, MD",0.0328
24510151200,"Park Circle, Baltimore, MD",0.0323
24510260303,"Claremont - Freedom, Baltimore, MD",0.032
24510271600,"Edgecomb, Baltimore, MD",0.0317
24510250203,"Cherry Hill, Baltimore, MD",0.0315
24510160802,"Edmondson, Baltimore, MD",0.0312
24510140200,"Upton, Baltimore, MD",0.0311
24510271001,"Baltimore, MD",0.0311
24510090900,"Oliver, Baltimore, MD",0.0309
24510130300,"Penn North, Baltimore, MD",0.0299
24510090800,"East Baltimore Midway, Baltimore, MD",0.0295
24510070200,"Madison - Eastend, Baltimore, MD",0.0293
24510260604,"O'Donnell Heights, Baltimore, MD",0.0292
24510070400,"Gay Street, Baltimore, MD",0.0292
24510151300,"Central Park Heights, Baltimore, MD",0.0287
24510250301,"Westport, Baltimore, MD",0.0284
24510080700,"Broadway East, Baltimore, MD",0.028
24510271801,"Arlington, Baltimore, MD",0.0272
24510060400,"Baltimore, MD",0.0267
24510120400,"Barclay, Baltimore, MD",0.0264
24510080102,"Belair - Edison, Baltimore, MD",0.0255
24510160400,"Midtown Edmondson, Baltimore, MD",0.0245
24510160600,"Mosher, Baltimore, MD",0.0245
24510150400,"Mondawmin, Baltimore, MD",0.0242
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.0241
24510170200,"McCulloh Homes, Baltimore, MD",0.024
24510170300,"Upton, Baltimore, MD",0.0232
24510140300,"Druid Heights, Baltimore, MD",0.0227
24510190100,"Franklin Square, Baltimore, MD",0.0221
24510210100,"Pigtown, Baltimore, MD",0.0216
24510200200,"Lexington, Baltimore, MD",0.0213
24510080600,"Broadway East, Baltimore, MD",0.0211
24510030100,"Perkins Homes, Baltimore, MD",0.019
24510160200,"Sandtown-Winchester, Baltimore, MD",0.019
24510080302,"Berea, Baltimore, MD",0.0184
24510090400,"Better Waverly, Baltimore, MD",0.0182
24510100100,"Johnson Square, Baltimore, MD",0.0182
24510250204,"Cherry Hill, Baltimore, MD",0.017
24510150100,"Sandtown-Winchester, Baltimore, MD",0.0169
24510080400,"Broadway East, Baltimore, MD",0.0168
24510070300,"Milton - Montford, Baltimore, MD",0.0167
24510080200,"Broadway East, Baltimore, MD",0.016
24510150600,"NW Community Action, Baltimore, MD",0.0154
24510280500,"Pleasant View Gardens, Baltimore, MD",0.015
24510150200,"Sandtown-Winchester, Baltimore, MD",0.0148
24510200100,"Lexington, Baltimore, MD",0.0143
24510080800,"Broadway East, Baltimore, MD",0.0143
24510130100,"Reservoir Hill, Baltimore, MD",0.0103
24510200400,"Shipley Hill, Baltimore, MD",0.0099
24510160300,"Sandtown-Winchester, Baltimore, MD",0.0085
24510180100,"Poppleton, Baltimore, MD",0.0042
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
